,project,GitHub,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
40,ant,https://github.com/apache/ant.git,0.7202,0.1937,0.0375,14659.0,9680.0,79666.0,127.0,301.0,209.03378099173554,61.519738646251255,6.725649430083514,2.432696492716272,8.22995867768595,66.13948240000038,55.82220908179885,13951.992125984252,10117.905511811023,115.4251968503937,183.0478305785124,132.7452479338843,8.22995867768595,0.28557210743802,8.22995867768595,0.7383440082644565,0.7282200413223053,8.22995867768595,1711.28976840274
41,drjava,https://github.com/DrJavaAtRice/drjava.git ,0.8485,0.4399,0.1935,3617.0,5373.0,39042.0,69.0,283.0,178.17941559650103,51.881383801967395,9.679830143706747,2.0009450436668024,7.266331658291457,99.95595749265176,77.43236787271961,22529.36231884058,17175.376811594204,52.42028985507246,289.321794155965,220.56597803833984,7.266331658291457,0.2513867485576028,7.266331658291457,0.48038712078912754,0.4687530243811664,7.266331658291457,1532.8132929369438
42,hazelcast,https://github.com/hazelcast/hazelcast.git ,0.3663,0.0066,0.0,31418.0,50900.0,382869.0,491.0,193.0,68.4784282907662,56.24161689389843,3.740060680145098,1.5719664260043735,7.521984282907662,33.547092649128345,22.321325579125915,12966.501018329938,7969.494908350305,63.9877800407332,125.07960707269156,76.87666011787819,7.521984282907662,0.36819709233785475,7.521984282907662,0.6958217681729071,0.627602534381175,7.521984282907662,20450.846415086802
43,presto,https://github.com/prestodb/presto.git ,0.6293,0.0987,0.0097,23889.0,22601.0,165719.0,935.0,150.0,67.9064200699084,53.54377021978046,6.074144278664909,1.5700879943403094,7.332374673687005,71.81542001196742,33.71018985847344,4461.737967914439,2300.1775401069517,25.549732620320857,184.5814344498031,95.15800185832485,7.332374673687005,0.3110449537630962,7.332374673687005,0.7546704128135792,0.5571949028803987,7.332374673687005,724.8771390753521
44,weka-3.8,https://github.com/Waikato/weka-3.8.git,0.8815,0.5321,0.2831,850.0,5736.0,7987.0,4.0,106.0,95.83176429567644,73.08333333333333,7.916666666666667,1.2060378893537889,1.3924337517433751,479.6170385867038,5.254503719200373,737813.25,10836.0,212.5,514.5141213389121,7.556485355648536,1.3924337517433751,0.05171042538354242,1.3924337517433751,0.7989103905160353,0.15120292887029305,1.3924337517433751,4191.849264053911
45,antlr3,https://github.com/antlr/antlr3.git,0.9462,0.7585,0.5754,548.0,2994.0,6074.0,26.0,167.0,156.26586506346027,61.91729323308272,8.375754677171683,1.2679370646054011,2.0287241148964594,134.08419692921197,35.21822682160859,24161.76923076923,8010.538461538462,21.076923076923077,209.82164328657313,69.56379425517702,2.0287241148964594,0.18462925851703452,2.0287241148964594,0.8593921175684681,0.40270541082164385,2.0287241148964594,1702.2252617359
46,dropwizard,https://github.com/dropwizard/dropwizard.git ,0.9325,0.705,0.497,7295.0,4452.0,30040.0,505.0,169.0,102.07187780772686,59.21131860442618,18.22872010363017,1.8399742811411495,6.747529200359389,21.068393447428768,12.681171478330759,472.71287128712873,276.560396039604,14.445544554455445,53.62084456424079,31.37084456424079,6.747529200359389,0.20180974842767557,6.747529200359389,0.7698225516621762,0.695038185085357,6.747529200359389,378.56727451946773
47,hbase,https://github.com/apache/hbase.git,0.4459,0.0176,0.0003,20401.0,20290.0,138672.0,692.0,213.0,106.9628881222277,50.45545104143027,4.034547535790152,1.5791390619526584,6.834499753573189,116.12458925010384,89.27666433483212,9172.252890173411,7020.631502890174,29.48121387283237,312.8240019714145,239.44194184327256,6.834499753573189,0.31008896007884745,6.834499753573189,0.6372777230162541,0.5772794480039393,6.834499753573189,2484.054363886483
48,kafka,https://github.com/apache/kafka.git,0.5739,0.0623,0.0039,15102.0,12131.0,106628.0,1433.0,162.0,40.032149039650484,50.03499533368466,6.807852448234346,1.3757174027707473,8.789712307311845,47.60037356141037,16.810501014396706,1998.5596650383811,956.1995812979762,10.538729937194697,236.08408210370126,112.9530953754843,8.789712307311845,0.4355873382243696,8.789712307311845,0.7773533921358388,0.5966067100816103,8.789712307311845,512.013820167207
49,xalan-java,https://github.com/apache/xalan-java.git ,0.8432,0.4263,0.1817,4835.0,5061.0,22942.0,39.0,296.0,110.53645524599881,54.96540972909214,6.6975087705943395,1.6973798466018384,4.533096226042284,77.02188403239826,54.54244974218299,26205.410256410258,15773.794871794871,123.97435897435898,201.9385496937364,121.55265757755384,4.533096226042284,0.20911005730092863,4.533096226042284,0.5676644931831649,0.5288599091088724,4.533096226042284,850.1670392196708
